dataset_a,dataset_b,jaccard_top5,jaccard_top10,spearman_corr,spearman_pvalue,kendall_tau,kendall_pvalue
aeeem_lucene,aeeem_lucene_hybrid,0.1111111111111111,0.17647058823529413,0.625,0.007304262768989965,0.48529411764705876,0.00600683882392195
aeeem_lucene,aeeem_mylyn,0.0,0.42857142857142855,0.07352941176470588,0.779127287251723,0.07352941176470587,0.7150317752938318
aeeem_lucene,aeeem_mylyn_hybrid,0.0,0.17647058823529413,0.04901960784313726,0.8517943990009383,0.0588235294117647,0.7764940676883935
aeeem_lucene,aeeem_pde,0.0,0.42857142857142855,-0.12500000000000003,0.6326406085600336,-0.08823529411764705,0.6553075802476113
aeeem_lucene,aeeem_pde_hybrid,0.0,0.17647058823529413,-0.23529411764705882,0.363295114375383,-0.13235294117647056,0.4896069682169023
aeeem_lucene,cm1,0.0,0.0,,,,
aeeem_lucene,kc1,0.0,0.0,,,,
aeeem_lucene,pc1,0.0,0.0,,,,
aeeem_lucene,pc3,0.0,0.0,,,,
aeeem_lucene_hybrid,aeeem_mylyn,0.0,0.1111111111111111,0.29656862745098045,0.24772866621670073,0.20588235294117643,0.27056053596407176
aeeem_lucene_hybrid,aeeem_mylyn_hybrid,0.0,0.17647058823529413,0.23717689004132567,0.13044040795431397,0.16376306620209058,0.12649468834465522
aeeem_lucene_hybrid,aeeem_pde,0.0,0.1111111111111111,0.12990196078431374,0.6192473366524132,0.07352941176470587,0.7150317752938318
aeeem_lucene_hybrid,aeeem_pde_hybrid,0.1111111111111111,0.3333333333333333,0.4329470869459525,0.0041857090442305855,0.3310104529616725,0.002010641292535419
aeeem_lucene_hybrid,cm1,0.0,0.0,,,,
aeeem_lucene_hybrid,kc1,0.0,0.0,,,,
aeeem_lucene_hybrid,pc1,0.0,0.0,,,,
aeeem_lucene_hybrid,pc3,0.0,0.0,,,,
aeeem_mylyn,aeeem_mylyn_hybrid,0.42857142857142855,0.3333333333333333,0.6200980392156864,0.007919520570762714,0.4264705882352941,0.017119110549244844
aeeem_mylyn,aeeem_pde,0.42857142857142855,0.6666666666666666,0.573529411764706,0.016081485967380123,0.4264705882352941,0.017119110549244844
aeeem_mylyn,aeeem_pde_hybrid,0.42857142857142855,0.25,0.502450980392157,0.03983296762323772,0.3235294117647059,0.07616914862439772
aeeem_mylyn,cm1,0.0,0.0,,,,
aeeem_mylyn,kc1,0.0,0.0,,,,
aeeem_mylyn,pc1,0.0,0.0,,,,
aeeem_mylyn,pc3,0.0,0.0,,,,
aeeem_mylyn_hybrid,aeeem_pde,0.25,0.42857142857142855,0.7156862745098039,0.0012355088007863545,0.5588235294117646,0.0012750331727878694
aeeem_mylyn_hybrid,aeeem_pde_hybrid,0.25,0.42857142857142855,0.4839964346487319,0.001164100860459935,0.34030197444831595,0.0014965325507743448
aeeem_mylyn_hybrid,cm1,0.0,0.0,,,,
aeeem_mylyn_hybrid,kc1,0.0,0.0,,,,
aeeem_mylyn_hybrid,pc1,0.0,0.0,,,,
aeeem_mylyn_hybrid,pc3,0.0,0.0,,,,
aeeem_pde,aeeem_pde_hybrid,0.42857142857142855,0.3333333333333333,0.8406862745098039,2.377892428594587e-05,0.6617647058823529,8.216178860308908e-05
aeeem_pde,cm1,0.0,0.0,,,,
aeeem_pde,kc1,0.0,0.0,,,,
aeeem_pde,pc1,0.0,0.0,,,,
aeeem_pde,pc3,0.0,0.0,,,,
aeeem_pde_hybrid,cm1,0.0,0.0,,,,
aeeem_pde_hybrid,kc1,0.0,0.0,,,,
aeeem_pde_hybrid,pc1,0.0,0.0,,,,
aeeem_pde_hybrid,pc3,0.0,0.0,,,,
cm1,kc1,0.0,0.0,,,,
cm1,pc1,0.1111111111111111,0.25,0.48008534850640117,0.0026377620709491477,0.3363363363363363,0.003393228189501693
cm1,pc3,0.25,0.42857142857142855,0.33712660028449504,0.04130620252532378,0.2522522522522523,0.0280024508788471
kc1,pc1,0.0,0.0,,,,
kc1,pc3,0.0,0.0,,,,
pc1,pc3,0.6666666666666666,0.5384615384615384,0.7558084400189663,6.362163831982079e-08,0.5735735735735735,5.849144558190638e-07
