source_dataset,target_dataset,feature_set,model,n_source_rows,n_target_rows,n_common_features,accuracy,precision,recall,f1,mcc,balanced_acc,auc_roc,pr_auc
pc1,cm1,static,xgboost,705,327,37,0.7798165137614679,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.21685992916951843,0.6300751879699248,0.7399331662489558,0.3078855136668829
pc1,cm1,static,lightgbm,705,327,37,0.8226299694189603,0.3,0.2857142857142857,0.2926829268292683,0.1914277229275764,0.593734335839599,0.7242272347535506,0.3304309897896445
pc1,pc3,static,logistic_regression,705,1563,37,0.8278950735764555,0.28112449799196787,0.4375,0.3422982885085575,0.2567058822452025,0.6549581254454739,0.7437433178902352,0.23998343392968696
pc1,pc3,static,random_forest,705,1563,37,0.8829174664107485,0.3283582089552239,0.1375,0.19383259911894274,0.15777305509203085,0.5527129365645046,0.8104463649322879,0.2959232273601688
pc1,pc3,static,xgboost,705,1563,37,0.8688419705694178,0.2815533980582524,0.18125,0.22053231939163498,0.15700619454052933,0.5642529401282965,0.7888230577334283,0.2726853957839304
pc1,pc3,static,lightgbm,705,1563,37,0.8790786948176583,0.3333333333333333,0.18125,0.23481781376518218,0.1849842796113504,0.5699550071275837,0.7884466322166785,0.27950942703005194
pc3,cm1,static,logistic_regression,1563,327,37,0.6330275229357798,0.175,0.5,0.25925925925925924,0.10595359000134157,0.5763157894736842,0.6294903926482874,0.25430985835502484
pc3,cm1,static,random_forest,1563,327,37,0.7798165137614679,0.23214285714285715,0.30952380952380953,0.2653061224489796,0.14089618388879366,0.5793233082706767,0.6799916457811195,0.2023656850098604
pc3,cm1,static,xgboost,1563,327,37,0.7706422018348624,0.22950819672131148,0.3333333333333333,0.27184466019417475,0.14465642130034564,0.5842105263157895,0.6545530492898914,0.2028378184000722
pc3,cm1,static,lightgbm,1563,327,37,0.7981651376146789,0.25,0.2857142857142857,0.26666666666666666,0.1506983769271348,0.5796992481203007,0.6649958228905597,0.21335083687308257
pc3,pc1,static,logistic_regression,1563,705,37,0.7446808510638298,0.21256038647342995,0.7213114754098361,0.3283582089552239,0.28903129953260687,0.7341029426738621,0.807911617961511,0.28517180255331437
pc3,pc1,static,random_forest,1563,705,37,0.8553191489361702,0.28865979381443296,0.45901639344262296,0.35443037974683544,0.2871817251547892,0.6759367681498829,0.8516698910497912,0.27577306165327164
pc3,pc1,static,xgboost,1563,705,37,0.8397163120567376,0.25,0.4262295081967213,0.3151515151515151,0.24188699348517348,0.6525557478871805,0.8419712860197537,0.29077118160818166
