dataset,feature_set,model,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,mcc_mean,mcc_std,balanced_acc_mean,balanced_acc_std,pr_auc_mean,pr_auc_std
aeeem_lucene,hybrid,random_forest,10,0.8813664596273292,0.030972205294754113,0.378546176046176,0.18236886491192814,0.3928571428571428,0.18823081310526066,0.37518736165794986,0.1663493373398159,0.8105807914563675,0.0822173332930743,0.3167349562152455,0.18291213817450863,0.6621479774705581,0.09478030722587785,0.4326580947204273,0.19668198690842548
aeeem_lucene,hybrid,xgboost,10,0.8799171842650104,0.034712978164138826,0.38803030303030306,0.17119605315698774,0.37857142857142856,0.1394885015909544,0.37215872362931185,0.12816248611147488,0.7999292907127009,0.0902054622230953,0.3132157610463307,0.14914822048066698,0.655005120327701,0.07171540094145615,0.43097714843291934,0.18027614999127783
aeeem_lucene,hybrid,lightgbm,10,0.8871428571428572,0.02332203151063448,0.3611904761904762,0.1850689166371971,0.31428571428571433,0.1853816040718277,0.3284770784770785,0.16900691723498354,0.7893277741204009,0.09739534819267591,0.2728904586497426,0.18239220242110643,0.6300179211469534,0.09309355745207631,0.417326906776577,0.1876317224167135
aeeem_mylyn,static,logistic_regression,5,0.7588486263657066,0.017956592705751052,0.2762356089754809,0.026485889776793822,0.5102040816326531,0.03226813938947324,0.3581986529000802,0.02899810906602977,0.7195310287857832,0.027148874921165713,0.24198112256079707,0.03752362579529787,0.6533638991659042,0.02184400560867289,0.3201109749441423,0.051450526999083514
aeeem_mylyn,static,random_forest,5,0.8421127735016863,0.010322807361606992,0.40167213738642304,0.04310388363447338,0.4204081632653061,0.1026512354282391,0.4080847561031648,0.06544847184081849,0.7704699423629101,0.04236824749234334,0.3191927067704392,0.06985172783642848,0.6632121464570234,0.045954021695374755,0.36793311108684157,0.06087597580607198
aeeem_mylyn,static,xgboost,5,0.8200798524027789,0.008857776000938324,0.36014528726565037,0.030658404479124626,0.4816326530612245,0.0930755449060521,0.41085960288992157,0.05105111244267991,0.7756949758460889,0.038771414305613074,0.3127933380836107,0.06032420188521931,0.6765003077254294,0.042076030151796825,0.35956450378723886,0.04513955963548841
aeeem_mylyn,static,lightgbm,5,0.8464080832540575,0.008637364956126358,0.41373463072148614,0.042599824083897904,0.4204081632653061,0.10952169685713255,0.4141353383458647,0.06868046222030509,0.7584834323592986,0.04183516930625109,0.3279316651136502,0.07336007626165059,0.6656841489032261,0.04910600491445544,0.35942258729311893,0.07007797047182078
aeeem_mylyn,static,logistic_regression,10,0.7626185958254269,0.02866215509680188,0.2770122595745915,0.054449739257056505,0.5029999999999999,0.12176885612088033,0.35650354745890467,0.07468684376351115,0.7148435606931984,0.05666787307062887,0.24144789714531018,0.09761506642371495,0.6525486159036884,0.06414446791359374,0.3391393628496811,0.08927779992064398
aeeem_mylyn,static,random_forest,10,0.8453395434420102,0.026338181635230894,0.4232842827670414,0.08489379003296861,0.45866666666666667,0.09745464282119866,0.4379399028247752,0.08538715848508788,0.7811199582087264,0.04625237829897257,0.3505863281985791,0.09912979681769954,0.6814133118625871,0.052555970980435913,0.39562890237281645,0.07119230202569188
aeeem_mylyn,static,xgboost,10,0.8275889828071991,0.020320962821182082,0.38250154407855647,0.05563223610488915,0.5028333333333335,0.09474804144690639,0.4328565400661848,0.06599978616906178,0.7745571371060502,0.04485078195150118,0.3390659660052656,0.07861408548314927,0.6898838087569972,0.04777464954313873,0.38476295517907194,0.06463054877468229
aeeem_mylyn,static,lightgbm,10,0.8394169397964465,0.01467553654665119,0.3930568190575203,0.053230150483524453,0.4173333333333333,0.09402586983129091,0.4031199196221681,0.0692620054250655,0.7565397017099917,0.04708187176042884,0.3119237082419285,0.07673959303937695,0.6604284180660992,0.04550649574472258,0.3743146705623378,0.08491296427976416
aeeem_mylyn,hybrid,logistic_regression,5,0.7567197094179712,0.03173121703568722,0.30877776183714556,0.03800959464800485,0.673469387755102,0.06920744880740068,0.42257155452601375,0.0454997422224469,0.7922201239170131,0.047740262349958845,0.331494437807703,0.06064936687454907,0.721402927642792,0.03921529964455011,0.39019369279915755,0.09273959356552765
